,Country Name,Country Code,iso_a3,Year,Curr Acc Balance
131,China,CHN,CHN,2006,5836.573437
132,Czech Republic,CZE,CZE,2006,23923.70388
133,Denmark,DNK,DNK,2006,37334.39016
134,Euro area,EUZ,EUZ,2006,32535.67391
135,Hungary,HUN,HUN,2006,18389.41028
136,Indonesia,IDN,IDN,2006,6708.575594
137,Japan,JPN,JPN,2006,33634.63171
138,Mexico,MEX,MEX,2006,13812.9014
139,New Zealand,NZL,NZL,2006,27755.52704
140,Poland,POL,POL,2006,15152.33608
141,Russian Federation,RUS,RUS,2006,14912.23393
142,South Africa,ZAF,ZAF,2006,11586.78459
143,"Korea, Rep.",KOR,KOR,2006,26884.26733
144,Sweden,SWE,SWE,2006,37730.16375
145,Switzerland,CHE,CHE,2006,46502.92827
146,United States,USA,USA,2006,46298.73144
147,Australia,AUS,AUS,2007,36599.85073
148,Brazil,BRA,BRA,2007,12549.931
149,United Kingdom,GBR,GBR,2007,35695.29849
150,Canada,CAN,CAN,2007,39575.30975
151,Chile,CHL,CHL,2007,16941.82983
152,China,CHN,CHN,2007,6810.6039
153,Czech Republic,CZE,CZE,2007,26282.37549
154,Denmark,DNK,DNK,2007,39006.20232
155,Euro area,EUZ,EUZ,2007,34420.17449
156,Hungary,HUN,HUN,2007,19099.85171
157,Indonesia,IDN,IDN,2007,7229.538282
158,Japan,JPN,JPN,2007,35015.98657
159,Mexico,MEX,MEX,2007,14297.22139
160,New Zealand,NZL,NZL,2007,29369.80819
161,Poland,POL,POL,2007,16802.83391
162,Russian Federation,RUS,RUS,2007,16648.24164
163,South Africa,ZAF,ZAF,2007,12374.97015
164,"Korea, Rep.",KOR,KOR,2007,29064.91808
165,Sweden,SWE,SWE,2007,40905.14587
166,Switzerland,CHE,CHE,2007,51208.09883
167,United States,USA,USA,2007,47975.9677
168,Australia,AUS,AUS,2008,37499.52513
169,Brazil,BRA,BRA,2008,13312.76676
170,United Kingdom,GBR,GBR,2008,36863.58476
171,Canada,CAN,CAN,2008,40376.30688
172,Chile,CHL,CHL,2008,16501.80988
173,China,CHN,CHN,2008,7574.224455
174,Czech Republic,CZE,CZE,2008,27974.48713
175,Denmark,DNK,DNK,2008,41278.32683
176,Euro area,EUZ,EUZ,2008,35715.11289
177,Hungary,HUN,HUN,2008,20727.88997
178,Indonesia,IDN,IDN,2008,7710.666304
179,Japan,JPN,JPN,2008,35273.79115
180,Mexico,MEX,MEX,2008,14924.82161
181,New Zealand,NZL,NZL,2008,29827.14255
182,Poland,POL,POL,2008,18303.35292
183,Russian Federation,RUS,RUS,2008,20163.60942
184,South Africa,ZAF,ZAF,2008,12845.72618
185,"Korea, Rep.",KOR,KOR,2008,29946.07749
186,Sweden,SWE,SWE,2008,42158.2957
187,Switzerland,CHE,CHE,2008,54096.80786
188,United States,USA,USA,2008,48382.55845
189,Australia,AUS,AUS,2009,40281.79967
190,Brazil,BRA,BRA,2009,13269.12211
191,United Kingdom,GBR,GBR,2009,35212.42048
192,Canada,CAN,CAN,2009,38865.41346
193,Chile,CHL,CHL,2009,16159.60715
194,China,CHN,CHN,2009,8307.849519
195,Czech Republic,CZE,CZE,2009,27761.50915
196,Denmark,DNK,DNK,2009,40331.40688
197,Euro area,EUZ,EUZ,2009,34793.32125
198,Hungary,HUN,HUN,2009,20729.78393
199,Indonesia,IDN,IDN,2009,8021.748065
200,Japan,JPN,JPN,2009,33547.28342
201,Mexico,MEX,MEX,2009,14547.64458
202,New Zealand,NZL,NZL,2009,30681.24454
