Country Name,Year,labsh,Country Code
Australia,2000,0.6065460443496704,AUS
Australia,2001,0.6081547141075134,AUS
Australia,2002,0.6008172631263733,AUS
Australia,2003,0.60151207447052,AUS
Australia,2004,0.6032440066337585,AUS
Australia,2005,0.5930346250534058,AUS
Australia,2006,0.5880502462387085,AUS
Australia,2007,0.5933364629745483,AUS
Australia,2008,0.5691140294075012,AUS
Australia,2009,0.5771031379699707,AUS
Australia,2010,0.5749547481536865,AUS
Australia,2011,0.5754212737083435,AUS
Australia,2012,0.5824652910232544,AUS
Australia,2013,0.5820971727371216,AUS
Australia,2014,0.5960260033607483,AUS
Australia,2015,0.6040282845497131,AUS
Australia,2016,0.5838769674301147,AUS
Brazil,2000,0.537806510925293,BRA
Brazil,2001,0.5451472401618958,BRA
Brazil,2002,0.5330697894096375,BRA
Brazil,2003,0.5295776128768921,BRA
Brazil,2004,0.5252270698547363,BRA
Brazil,2005,0.5354456901550293,BRA
Brazil,2006,0.5404710173606873,BRA
Brazil,2007,0.541516125202179,BRA
Brazil,2008,0.5496699213981628,BRA
Brazil,2009,0.5624669790267944,BRA
Brazil,2010,0.5524567365646362,BRA
Brazil,2011,0.5570166707038879,BRA
Brazil,2012,0.5658205151557922,BRA
Brazil,2013,0.5703140497207642,BRA
Brazil,2014,0.5681036114692688,BRA
Brazil,2015,0.58119797706604,BRA
Brazil,2016,0.5801931023597717,BRA
Britain,2000,0.5884050130844116,GBR
Britain,2001,0.6008405685424805,GBR
Britain,2002,0.5930173993110657,GBR
Britain,2003,0.5876073241233826,GBR
Britain,2004,0.5972720384597778,GBR
Britain,2005,0.5948011875152588,GBR
Britain,2006,0.6001031398773193,GBR
Britain,2007,0.6035581827163696,GBR
Britain,2008,0.5951507687568665,GBR
Britain,2009,0.6001129150390625,GBR
Britain,2010,0.5992808938026428,GBR
Britain,2011,0.5968909859657288,GBR
Britain,2012,0.5912898182868958,GBR
Britain,2013,0.595529317855835,GBR
Britain,2014,0.5849596261978149,GBR
Britain,2015,0.5850751996040344,GBR
Britain,2016,0.5862053036689758,GBR
Canada,2000,0.6538953185081482,CAN
Canada,2001,0.6573811769485474,CAN
Canada,2002,0.6574026346206665,CAN
Canada,2003,0.6457537412643433,CAN
Canada,2004,0.6393342614173889,CAN
Canada,2005,0.6294353604316711,CAN
Canada,2006,0.6342618465423584,CAN
Canada,2007,0.6394949555397034,CAN
Canada,2008,0.6311977505683899,CAN
Canada,2009,0.6725448369979858,CAN
Canada,2010,0.6509516835212708,CAN
Canada,2011,0.6395891904830933,CAN
Canada,2012,0.6505615711212158,CAN
Canada,2013,0.6496884822845459,CAN
Canada,2014,0.6418065428733826,CAN
Canada,2015,0.6702593564987183,CAN
Canada,2016,0.6611776351928711,CAN
Chile,2000,0.49851754307746887,CHL
Chile,2001,0.4945792555809021,CHL
Chile,2002,0.4934079647064209,CHL
Chile,2003,0.5021911263465881,CHL
Chile,2004,0.45680803060531616,CHL
Chile,2005,0.4311443567276001,CHL
Chile,2006,0.384863942861557,CHL
Chile,2007,0.3841315805912018,CHL
Chile,2008,0.4309290647506714,CHL
Chile,2009,0.4396144151687622,CHL
Chile,2010,0.4396144151687622,CHL
Chile,2011,0.4396144151687622,CHL
Chile,2012,0.4396144151687622,CHL
Chile,2013,0.4396144151687622,CHL
Chile,2014,0.4396144151687622,CHL
Chile,2015,0.4396144151687622,CHL
Chile,2016,0.4396144151687622,CHL
China,2000,0.5919618010520935,CHN
China,2001,0.5880331993103027,CHN
China,2002,0.6032833456993103,CHN
China,2003,0.5981279611587524,CHN
China,2004,0.5728844404220581,CHN
China,2005,0.5682186484336853,CHN
China,2006,0.5573593378067017,CHN
China,2007,0.5530818700790405,CHN
China,2008,0.5520761609077454,CHN
China,2009,0.552654504776001,CHN
China,2010,0.5482550859451294,CHN
China,2011,0.5499829053878784,CHN
China,2012,0.5603400468826294,CHN
China,2013,0.5711438059806824,CHN
China,2014,0.578006386756897,CHN
China,2015,0.5831686854362488,CHN
China,2016,0.5862529277801514,CHN
Czech Republic,2000,0.5148730874061584,CZE
Czech Republic,2001,0.5111325979232788,CZE
Czech Republic,2002,0.5224952697753906,CZE
Czech Republic,2003,0.5237675309181213,CZE
Czech Republic,2004,0.5230435729026794,CZE
Czech Republic,2005,0.5203590393066406,CZE
Czech Republic,2006,0.5145923495292664,CZE
Czech Republic,2007,0.5092825889587402,CZE
Czech Republic,2008,0.5174509882926941,CZE
Czech Republic,2009,0.5205227732658386,CZE
Czech Republic,2010,0.5228997468948364,CZE
Czech Republic,2011,0.5236197113990784,CZE
Czech Republic,2012,0.532808780670166,CZE
Czech Republic,2013,0.5305154919624329,CZE
Czech Republic,2014,0.516910195350647,CZE
Czech Republic,2015,0.51255863904953,CZE
Czech Republic,2016,0.522975742816925,CZE
Denmark,2000,0.6221997141838074,DNK
Denmark,2001,0.6364558935165405,DNK
Denmark,2002,0.6409457325935364,DNK
Denmark,2003,0.6423335671424866,DNK
Denmark,2004,0.6323632001876831,DNK
Denmark,2005,0.6345982551574707,DNK
Denmark,2006,0.6326290965080261,DNK
Denmark,2007,0.6492964625358582,DNK
Denmark,2008,0.6493507027626038,DNK
Denmark,2009,0.6717942357063293,DNK
Denmark,2010,0.641318678855896,DNK
Denmark,2011,0.6371835470199585,DNK
Denmark,2012,0.6298593878746033,DNK
Denmark,2013,0.6283210515975952,DNK
Denmark,2014,0.6206474900245667,DNK
Denmark,2015,0.6191054582595825,DNK
Denmark,2016,0.6184792518615723,DNK
Hungary,2000,0.6082942485809326,HUN
