,Country Name,Country Code,iso_a3,Year,GDP per capita
131,Mexico,MEX,MEX,2006,13812.9014
132,New Zealand,NZL,NZL,2006,27755.52704
133,Poland,POL,POL,2006,15152.33608
134,Russian Federation,RUS,RUS,2006,14912.23393
135,South Africa,ZAF,ZAF,2006,11586.78459
136,"Korea, Rep.",KOR,KOR,2006,26884.26733
137,Sweden,SWE,SWE,2006,37730.16375
138,Switzerland,CHE,CHE,2006,46502.92827
139,United States,USA,USA,2006,46298.73144
140,Australia,AUS,AUS,2007,36599.85073
141,Brazil,BRA,BRA,2007,12549.931
142,United Kingdom,GBR,GBR,2007,35695.29849
143,Canada,CAN,CAN,2007,39575.30975
144,Chile,CHL,CHL,2007,16941.82983
145,China,CHN,CHN,2007,6810.6039
146,Czech Republic,CZE,CZE,2007,26282.37549
147,Denmark,DNK,DNK,2007,39006.20232
148,Hungary,HUN,HUN,2007,19099.85171
149,Indonesia,IDN,IDN,2007,7229.538282
150,Japan,JPN,JPN,2007,35015.98657
151,Mexico,MEX,MEX,2007,14297.22139
152,New Zealand,NZL,NZL,2007,29369.80819
153,Poland,POL,POL,2007,16802.83391
154,Russian Federation,RUS,RUS,2007,16648.24164
155,South Africa,ZAF,ZAF,2007,12374.97015
156,"Korea, Rep.",KOR,KOR,2007,29064.91808
157,Sweden,SWE,SWE,2007,40905.14587
158,Switzerland,CHE,CHE,2007,51208.09883
159,United States,USA,USA,2007,47975.9677
160,Australia,AUS,AUS,2008,37499.52513
161,Brazil,BRA,BRA,2008,13312.76676
162,United Kingdom,GBR,GBR,2008,36863.58476
163,Canada,CAN,CAN,2008,40376.30688
164,Chile,CHL,CHL,2008,16501.80988
165,China,CHN,CHN,2008,7574.224455
166,Czech Republic,CZE,CZE,2008,27974.48713
167,Denmark,DNK,DNK,2008,41278.32683
168,Hungary,HUN,HUN,2008,20727.88997
169,Indonesia,IDN,IDN,2008,7710.666304
170,Japan,JPN,JPN,2008,35273.79115
171,Mexico,MEX,MEX,2008,14924.82161
172,New Zealand,NZL,NZL,2008,29827.14255
173,Poland,POL,POL,2008,18303.35292
174,Russian Federation,RUS,RUS,2008,20163.60942
175,South Africa,ZAF,ZAF,2008,12845.72618
176,"Korea, Rep.",KOR,KOR,2008,29946.07749
177,Sweden,SWE,SWE,2008,42158.2957
178,Switzerland,CHE,CHE,2008,54096.80786
179,United States,USA,USA,2008,48382.55845
180,Australia,AUS,AUS,2009,40281.79967
181,Brazil,BRA,BRA,2009,13269.12211
182,United Kingdom,GBR,GBR,2009,35212.42048
183,Canada,CAN,CAN,2009,38865.41346
