,year,iso_a3,country_name,Year,local_price,dollar_ex,dollar_price,big_mac_index,relative_PPP
36,2001,RUS,Russia,2001,35.0,28.9,1.2110726643598617,-52.319973844099934,25.02883506343714
37,2001,SWE,Sweden,2001,24.0,10.28,2.3346303501945527,-8.08541928367903,17.472072298230202
38,2001,USA,United States,2001,2.54,1.0,2.54,0.0,0.0
39,2001,ZAF,South Africa,2001,9.7,8.13,1.193111931119311,-53.02708932601138,7.754683745561247
40,2002,AUS,Australia,2002,3.0,1.86,1.6129032258064515,-35.22477004793368,1.3466958972752898
41,2002,BRA,Brazil,2002,3.6,2.34,1.5384615384615385,-38.214396045721344,1.9899019899019894
42,2002,CAN,Canada,2002,3.33,1.57,2.1210191082802545,-14.818509707620308,1.1700192506723561
43,2002,CHE,Switzerland,2002,6.3,1.66,3.7951807228915664,52.41689650166932,2.3563680875902477
44,2002,CHL,Chile,2002,1400.0,655.0,2.1374045801526718,-14.160458628406769,93.19083969465649
45,2002,CHN,China,2002,10.5,8.28,1.2681159420289856,-49.07164891449858,8.35464620630861
46,2002,CZE,Czech Republic,2002,56.28,34.0,1.6552941176470588,-33.52232459248761,34.953100769358166
47,2002,DNK,Denmark,2002,24.75,8.38,2.9534606205250595,18.612876326307592,17.47217585529053
48,2002,GBR,Britain,2002,1.99,0.689655172,2.8855000017313,15.883534206076288,-0.8780272592717914
49,2002,HUN,Hungary,2002,459.0,272.0,1.6875,-32.22891566265061,81.80903398926655
50,2002,IDN,Indonesia,2002,16000.0,9430.0,1.696712619300106,-31.85893095180298,99.36834339988013
51,2002,JPN,Japan,2002,262.0,130.0,2.0153846153846153,-19.060858819894978,71.81895452613685
52,2002,KOR,South Korea,2002,3100.0,1304.0,2.3773006134969323,-4.526079779239678,96.80070935582822
53,2002,MEX,Mexico,2002,21.9,9.28,2.3599137931034484,-5.224345658496055,16.029603122966822
54,2002,NZL,New Zealand,2002,3.6,2.24,1.607142857142857,-35.45611015490535,1.923607280750138
55,2002,POL,Poland,2002,5.9,4.04,1.4603960396039604,-41.34955664241124,4.192260585831955
56,2002,RUS,Russia,2002,39.0,31.2,1.25,-49.7991967871486,27.15827338129496
