,year,iso_a3,country_name,local_price,dollar_ex,dollar_price,big_mac_index,relative_PPP,GDP per capita,Curr Acc Balance,GGB,labor comp per capita,big_mac_affordability
0,2000,AUS,Australia,2.59,1.68,1.5416666666666667,-38.57901726427622,1.0218669785879062,26343.0767,-3.726698858,-1.29277943331186,60.65460443496704,46.814797541651245
1,2000,BRA,Brazil,2.95,1.79,1.6480446927374302,-34.34084889492309,1.2646481857820009,9060.788667,-3.80802597,-4.85425593797439,53.7806510925293,15.06274596139308
2,2000,CAN,Canada,2.85,1.47,1.9387755102040818,-22.75794780063418,0.885974224400504,29362.08416,2.483228327,2.63970396113812,65.38953185081482,41.492202562076415
3,2000,CHE,Switzerland,5.9,1.7,3.4705882352941178,38.2704476212796,2.2940621007609847,36772.69462,10.61357617,0.281337704716356,67.21661686897278,29.028827886696078
4,2000,CHL,Chile,1260.0,514.0,2.4513618677042803,-2.336180569550572,92.4668116273747,9538.075278,-1.152730154,1.3030821570476874,49.85175430774689,10.660079784500978
5,2000,CHN,China,9.9,8.28,1.1956521739130437,-52.3644552225879,7.920243699806148,2920.560791,1.693848601,-7.96311812612871,59.19618010520935,6.692194091457035
6,2000,CZE,Czech Republic,54.37,39.1,1.3905370843989768,-44.60011615940331,34.319792003369194,16235.48063,-4.350372114,-3.57563564178522,51.487308740615845,31.988193158142714
7,2000,DNK,Denmark,24.75,8.04,3.0783582089552244,22.643753344829666,17.372057547931686,28658.12496,1.377834646,1.887315011175,62.21997141838074,25.505612251656288
8,2000,GBR,Britain,1.9,0.632911392,3.00200000192128,19.60159370204304,-1.0814524062034152,26472.19371,-2.173459593,1.35275375512062,58.84050130844116,24.159413079004675
9,2000,HUN,Hungary,339.0,279.0,1.2150537634408602,-51.59148352825258,76.94417909716609,11853.17852,-8.838848078,-3.04138710956697,60.82942485809326,26.7267693625894
10,2000,IDN,Indonesia,14500.0,7945.0,1.8250471994965387,-27.288956195357017,99.30256816986646,4743.944717,4.843064528,-1.654320673156246,44.48153376579285,7.121519277574871
11,2000,JPN,Japan,294.0,106.0,2.7735849056603774,10.501390663760057,73.91533378028925,27287.27019,2.630455489,-5.911139426354821,58.19888114929199,26.95415748895723
12,2000,KOR,South Korea,3000.0,1108.0,2.707581227436823,7.871762049275821,96.68685221846978,18538.83553,1.766953612,4.16660016721033,50.6752073764801,18.758931294283105
13,2000,MEX,Mexico,20.9,9.41,2.221041445270988,-11.512293017092102,15.449924362885865,11089.48999,-2.648996074,-2.7434651734137074,39.72209393978119,13.679242420646261
14,2000,NZL,New Zealand,3.4,2.01,1.691542288557214,-32.607876949911784,1.6522801851477622,21513.70277,-3.302848712,1.62367843523394,53.98242473602295,34.84491745987107
15,2000,POL,Poland,5.5,4.3,1.2790697674418605,-49.04104512183822,4.000881737021933,10672.12109,-6.005709188,-3.9943458969676,62.59515881538391,22.859337826650062
16,2000,RUS,Russia,39.5,28.5,1.3859649122807018,-44.78227441112741,27.321888951770106,6825.391511,17.47424248,-0.32555174070254783,51.92491412162781,13.492190606103692
17,2000,SWE,Sweden,24.0,8.84,2.7149321266968327,8.16462656162682,17.16537731717997,29618.27926,4.447208815,3.13638970313739,52.15964913368225,29.88876582858447
18,2000,USA,United States,2.51,1.0,2.51,0.0,0.0,36334.90878,-3.920351703,0.335568442813897,63.70731592178345,39.66043636959014
19,2000,ZAF,South Africa,9.0,6.72,1.3392857142857144,-46.64200341491177,7.028178243774574,8498.518594,-0.125569953,-3.26294165634603,56.10615015029907,17.385097397771688
20,2001,AUS,Australia,3.0,1.98,1.5151515151515151,-40.348365545215934,1.4416004707266843,27439.82779,-2.106905036,-0.74340340321793,60.81547141075134,49.61722285315068
21,2001,BRA,Brazil,3.6,2.19,1.6438356164383563,-35.28206234494661,1.888189559422436,9260.768381,-4.235658681,-6.5223365108252,54.514724016189575,15.434613968333332
22,2001,CAN,Canada,3.33,1.56,2.1346153846153846,-15.960024227740766,1.1568611394412227,30230.80297,2.132369792,0.529468967089921,65.73811769485474,38.80048758336419
23,2001,CHE,Switzerland,6.3,1.73,3.6416184971098264,43.3708069728278,2.500829259539204,37896.69696,6.837868584,0.207109829019697,69.1474199295044,28.511104910110898
24,2001,CHL,Chile,1260.0,601.0,2.0965058236272878,-17.460400644594976,92.49290398355683,9962.27425,-1.549914197,1.3030821570476874,49.45792555809021,13.018758043596433
25,2001,CHN,China,9.9,8.28,1.1956521739130437,-52.92707976720301,7.920243699806148,3210.009396,1.299167957,-6.49210915083558,58.80331993103027,7.355438715616438
26,2001,CZE,Czech Republic,56.0,39.0,1.435897435897436,-43.46860488592772,34.97698882314266,17621.05413,-4.826232749,-5.75954800192003,51.11325979232788,33.62138508170254
27,2001,DNK,Denmark,24.75,8.46,2.9255319148936167,15.178421846205392,17.494563595275654,29437.31034,2.941944281,1.14055420849418,63.64558935165405,27.567692871332504
28,2001,GBR,Britain,1.99,0.699300699,2.845700001223651,12.035433119041361,-0.8390038251040797,27807.16932,-1.96352284,0.216195295541333,60.08405685424805,26.771629300870597
29,2001,HUN,Hungary,399.0,303.0,1.316831683168317,-48.15623294612925,79.69602571479594,13207.92217,-6.120205511,-3.99940254696825,60.72734594345093,27.479660916057266
30,2001,IDN,Indonesia,14700.0,10855.0,1.3542146476278212,-46.68446269181806,99.31517422535386,4956.361105,4.301048531,-1.654320673156246,44.54861879348755,10.027266758880813
31,2001,JPN,Japan,294.0,124.0,2.370967741935484,-6.654813309626617,74.01752087768133,27942.34665,1.970870923,-5.911139426354821,58.21548104286194,32.28823953592396
